module,domain,depends,policy,priority,ce_oca_alternative,rationale
account_3way_match,accounting,purchase,REPLACE_CE_OCA,P3,OCA/purchase-workflow (triple validación/controls),Controles de compras equivalentes en OCA.
account_accountant,accounting,"account,web_tour",REPLACE_CE_OCA,P2,OCA/account-financial-tools,Metapaquete de utilidades contables.
account_asset,accounting,account,REPLACE_CE_OCA,P2,OCA/account-financial-tools: account_asset*,Sustitutos maduros en OCA.
account_bank_statement_import_camt,accounting,account_bank_statement_import,REPLACE_CE_OCA,P3,OCA/account-*,Sustituible en OCA/CE.
account_bank_statement_import_csv,accounting,"account_bank_statement_import,base_import",REPLACE_CE_OCA,P3,OCA/account-*,Sustituible en OCA/CE.
account_bank_statement_import_ofx,accounting,account_bank_statement_import,REPLACE_CE_OCA,P3,OCA/account-*,Sustituible en OCA/CE.
account_bank_statement_import_qif,accounting,account_bank_statement_import,REPLACE_CE_OCA,P3,OCA/account-*,Sustituible en OCA/CE.
account_batch_payment,accounting,account,REPLACE_CE_OCA,P2,OCA/account-payment,Sustitutos maduros en OCA.
account_budget,accounting,account,REPLACE_CE_OCA,P2,OCA/account-budgeting,Sustitutos maduros en OCA.
account_deferred_revenue,accounting,account_asset,REPLACE_CE_OCA,P3,OCA/account-*,Sustituible en OCA/CE.
account_intrastat,accounting,account_reports,REPLACE_CE_OCA,P2,OCA/intrastat,Sustitutos maduros en OCA.
account_invoice_extract,accounting,"account_accountant,iap,mail_enterprise",NO_REPLICATE,P3,,Dependencias SaaS/IA propietarias o servicios cerrados.
account_online_sync,accounting,account,NO_REPLICATE,P3,,Dependencias SaaS/IA propietarias o servicios cerrados.
account_plaid,accounting,account_online_sync,NO_REPLICATE,P3,,Dependencias SaaS/IA propietarias o servicios cerrados.
account_predictive_bills,accounting,account_accountant,NO_REPLICATE,P3,,Dependencias SaaS/IA propietarias o servicios cerrados.
account_reports,accounting,account_accountant,REPLICATE_CE_PRO,P1,Quantum: financial_reports_dynamic,Motor de reportes contables dinámicos con drilldown.
account_reports_followup,accounting,"account,mail,account_reports",REPLACE_CE_OCA,P2,OCA/credit-control,Seguimiento de cobros con OCA.
account_sepa,accounting,"account_batch_payment,base_iban",REPLACE_CE_OCA,P2,OCA/account-payment: SEPA,Sustitutos maduros en OCA.
account_sepa_direct_debit,accounting,"base_iban,account_batch_payment",REPLACE_CE_OCA,P2,OCA/account-payment: SEPA DD,Sustitutos maduros en OCA.
account_taxcloud,accounting,l10n_us,NO_REPLICATE,P3,,Dependencias SaaS/IA propietarias o servicios cerrados.
account_yodlee,accounting,account_online_sync,NO_REPLICATE,P3,,Dependencias SaaS/IA propietarias o servicios cerrados.
analytic_enterprise,other,"web_grid,analytic,account",REPLACE_CE_OCA,P2,OCA/account-analytic,Analítica en OCA.
barcodes_mobile,other,"barcodes,web_mobile",REPLACE_CE_OCA,P3,OCA/*,Sustituible por familia OCA.
base_automation_hr_contract,other,"base_automation,hr_contract",REPLACE_CE_OCA,P3,OCA/*,Sustituible por familia OCA.
crm_enterprise,sales_pos,"crm,web_dashboard,web_cohort",REPLACE_CE_OCA,P3,OCA/sale-*,Equivalentes OCA/CE.
currency_rate_live,accounting,account,REPLACE_CE_OCA,P2,OCA/currency: currency_rate_update,Actualización de tasas con fuentes libres.
delivery_barcode,inventory_mrp,"stock_barcode,delivery",REPLACE_CE_OCA,P2,OCA/stock-logistics-barcode,Lectura de códigos de barras comunitaria.
delivery_bpost,inventory_mrp,"delivery,mail",NO_REPLICATE,P3,,Carriers específicos de pago; deferir.
delivery_dhl,inventory_mrp,"delivery,mail",NO_REPLICATE,P3,,Carriers específicos de pago; deferir.
delivery_easypost,inventory_mrp,"delivery,mail",NO_REPLICATE,P3,,Carriers específicos de pago; deferir.
delivery_fedex,inventory_mrp,"delivery,mail",NO_REPLICATE,P3,,Carriers específicos de pago; deferir.
delivery_ups,inventory_mrp,"delivery,mail",NO_REPLICATE,P3,,Carriers específicos de pago; deferir.
delivery_usps,inventory_mrp,"delivery,mail",NO_REPLICATE,P3,,Carriers específicos de pago; deferir.
documents,documents_collab,"base,mail,portal,web",REPLACE_CE_OCA,P3,OCA/dms; document_attachment_manage (este repo),DMS comunitario básico en lugar de Enterprise Documents.
documents_account,documents_collab,"documents,account",NO_REPLICATE,P3,,Firma y automatismos enterprise; deferir.
documents_product,documents_collab,"documents,product",NO_REPLICATE,P3,,Firma y automatismos enterprise; deferir.
documents_project,documents_collab,"documents,project",NO_REPLICATE,P3,,Firma y automatismos enterprise; deferir.
documents_sign,documents_collab,"documents,sign",NO_REPLICATE,P3,,Firma y automatismos enterprise; deferir.
event_barcode,other,"barcodes,event",REPLACE_CE_OCA,P3,OCA/*,Sustituible por familia OCA.
event_barcode_mobile,other,"event_barcode,web_mobile",REPLACE_CE_OCA,P3,OCA/*,Sustituible por familia OCA.
event_enterprise,other,"event,web_cohort",REPLACE_CE_OCA,P3,OCA/*,Sustituible por familia OCA.
helpdesk,projects_helpdesk,"base_setup,mail,utm,rating,web_tour,resource,portal,digest",REPLACE_CE_OCA,P3,OCA/helpdesk,Helpdesk comunitario.
helpdesk_sale_timesheet,projects_helpdesk,"helpdesk_timesheet,sale_timesheet",REPLACE_CE_OCA,P3,OCA/helpdesk,Helpdesk comunitario.
helpdesk_timesheet,projects_helpdesk,"helpdesk,hr_timesheet",REPLACE_CE_OCA,P3,OCA/helpdesk,Helpdesk comunitario.
hr_appraisal,other,"hr,calendar,survey",REPLACE_CE_OCA,P3,OCA/*,Sustituible por familia OCA.
hr_contract_salary,other,"hr,website,hr_recruitment,l10n_be_hr_payroll_fleet,sign",REPLACE_CE_OCA,P3,OCA/*,Sustituible por familia OCA.
hr_holidays_gantt,other,"hr_holidays,web_gantt",REPLACE_CE_OCA,P3,OCA/*,Sustituible por familia OCA.
inter_company_rules,other,"sale_management,purchase_stock,sale_stock",REPLACE_CE_OCA,P3,OCA/multi-company,Reglas intercompañía en OCA.
iot,iot,"mail,web",NO_REPLICATE,P3,,Fuera de alcance CE-Pro núcleo.
l10n_ar_reports,accounting,"l10n_ar,account_reports",NO_REPLICATE,P3,Usar localizaciones OCA/país en CE,Reportes y EDI locales enterprise; fuera de alcance.
l10n_at_reports,accounting,"l10n_at,account_reports",NO_REPLICATE,P3,Usar localizaciones OCA/país en CE,Reportes y EDI locales enterprise; fuera de alcance.
l10n_au_aba,accounting,"account_batch_payment,l10n_au",NO_REPLICATE,P3,Usar localizaciones OCA/país en CE,Reportes y EDI locales enterprise; fuera de alcance.
l10n_au_reports,accounting,"l10n_au,account_reports",NO_REPLICATE,P3,Usar localizaciones OCA/país en CE,Reportes y EDI locales enterprise; fuera de alcance.
l10n_be_coda,accounting,"account_accountant,l10n_be,account_bank_statement_import,base_iban",NO_REPLICATE,P3,Usar localizaciones OCA/país en CE,Reportes y EDI locales enterprise; fuera de alcance.
l10n_be_intrastat,localizations,"l10n_be,account_intrastat",NO_REPLICATE,P3,,Fuera de alcance CE-Pro núcleo.
l10n_be_intrastat_2019,localizations,l10n_be_intrastat,NO_REPLICATE,P3,,Fuera de alcance CE-Pro núcleo.
l10n_be_reports,accounting,"l10n_be,account_reports",NO_REPLICATE,P3,Usar localizaciones OCA/país en CE,Reportes y EDI locales enterprise; fuera de alcance.
l10n_bo_reports,accounting,"l10n_bo,account_reports",NO_REPLICATE,P3,Usar localizaciones OCA/país en CE,Reportes y EDI locales enterprise; fuera de alcance.
l10n_br_reports,accounting,"l10n_br,account_reports",NO_REPLICATE,P3,Usar localizaciones OCA/país en CE,Reportes y EDI locales enterprise; fuera de alcance.
l10n_ca_check_printing,accounting,"account_check_printing,l10n_ca",NO_REPLICATE,P3,Usar localizaciones OCA/país en CE,Reportes y EDI locales enterprise; fuera de alcance.
l10n_ch_reports,accounting,"l10n_ch,account_reports",NO_REPLICATE,P3,Usar localizaciones OCA/país en CE,Reportes y EDI locales enterprise; fuera de alcance.
l10n_cl_reports,accounting,"l10n_cl,account_reports",NO_REPLICATE,P3,Usar localizaciones OCA/país en CE,Reportes y EDI locales enterprise; fuera de alcance.
l10n_co_edi,accounting,"account,l10n_co",NO_REPLICATE,P3,Usar localizaciones OCA/país en CE,Reportes y EDI locales enterprise; fuera de alcance.
l10n_co_reports,accounting,"l10n_co,account_reports",NO_REPLICATE,P3,Usar localizaciones OCA/país en CE,Reportes y EDI locales enterprise; fuera de alcance.
l10n_de_reports,accounting,"l10n_de,account_reports",NO_REPLICATE,P3,Usar localizaciones OCA/país en CE,Reportes y EDI locales enterprise; fuera de alcance.
l10n_do_reports,accounting,"l10n_do,account_reports",NO_REPLICATE,P3,Usar localizaciones OCA/país en CE,Reportes y EDI locales enterprise; fuera de alcance.
l10n_es_real_estates,accounting,l10n_es_reports,NO_REPLICATE,P3,Usar localizaciones OCA/país en CE,Reportes y EDI locales enterprise; fuera de alcance.
l10n_es_reports,accounting,"l10n_es,account_reports",NO_REPLICATE,P3,Usar localizaciones OCA/país en CE,Reportes y EDI locales enterprise; fuera de alcance.
l10n_et_reports,accounting,"l10n_et,account_reports",NO_REPLICATE,P3,Usar localizaciones OCA/país en CE,Reportes y EDI locales enterprise; fuera de alcance.
l10n_fr_reports,accounting,"l10n_fr,account_reports",NO_REPLICATE,P3,Usar localizaciones OCA/país en CE,Reportes y EDI locales enterprise; fuera de alcance.
l10n_gr_reports,accounting,"l10n_gr,account_reports",NO_REPLICATE,P3,Usar localizaciones OCA/país en CE,Reportes y EDI locales enterprise; fuera de alcance.
l10n_hr_reports,accounting,"l10n_hr,account_reports",NO_REPLICATE,P3,Usar localizaciones OCA/país en CE,Reportes y EDI locales enterprise; fuera de alcance.
l10n_hu_reports,accounting,"l10n_hu,account_reports",NO_REPLICATE,P3,Usar localizaciones OCA/país en CE,Reportes y EDI locales enterprise; fuera de alcance.
l10n_in_reports,accounting,"l10n_in,account_reports",NO_REPLICATE,P3,Usar localizaciones OCA/país en CE,Reportes y EDI locales enterprise; fuera de alcance.
l10n_jp_reports,accounting,"l10n_jp,account_reports",NO_REPLICATE,P3,Usar localizaciones OCA/país en CE,Reportes y EDI locales enterprise; fuera de alcance.
l10n_lu_reports,accounting,"l10n_lu,account_reports",NO_REPLICATE,P3,Usar localizaciones OCA/país en CE,Reportes y EDI locales enterprise; fuera de alcance.
l10n_ma_reports,accounting,"l10n_ma,account_reports",NO_REPLICATE,P3,Usar localizaciones OCA/país en CE,Reportes y EDI locales enterprise; fuera de alcance.
l10n_mx_edi,other,"account,account_cancel,base_vat,base_address_extended,document,base_address_city",REPLACE_CE_OCA,P3,OCA/*,Sustituible por familia OCA.
l10n_mx_edi_customs,other,l10n_mx_edi,REPLACE_CE_OCA,P3,OCA/*,Sustituible por familia OCA.
l10n_mx_edi_external_trade,other,l10n_mx_edi,REPLACE_CE_OCA,P3,OCA/*,Sustituible por familia OCA.
l10n_mx_edi_landing,other,"stock_landed_costs,sale_management,l10n_mx_edi_customs",REPLACE_CE_OCA,P3,OCA/*,Sustituible por familia OCA.
l10n_mx_edi_payment,other,l10n_mx_edi,REPLACE_CE_OCA,P3,OCA/*,Sustituible por familia OCA.
l10n_mx_edi_payment_bank,other,l10n_mx_edi,REPLACE_CE_OCA,P3,OCA/*,Sustituible por familia OCA.
l10n_mx_reports,accounting,"account_reports,l10n_mx",NO_REPLICATE,P3,Usar localizaciones OCA/país en CE,Reportes y EDI locales enterprise; fuera de alcance.
l10n_mx_tax_cash_basis,accounting,l10n_mx_edi,NO_REPLICATE,P3,Usar localizaciones OCA/país en CE,Reportes y EDI locales enterprise; fuera de alcance.
l10n_nl_intrastat,localizations,"l10n_nl,account_intrastat",NO_REPLICATE,P3,,Fuera de alcance CE-Pro núcleo.
l10n_nl_reports,accounting,"l10n_nl,account_reports",NO_REPLICATE,P3,Usar localizaciones OCA/país en CE,Reportes y EDI locales enterprise; fuera de alcance.
l10n_no_reports,accounting,"l10n_no,account_reports",NO_REPLICATE,P3,Usar localizaciones OCA/país en CE,Reportes y EDI locales enterprise; fuera de alcance.
l10n_pl_reports,accounting,"l10n_pl,account_reports",NO_REPLICATE,P3,Usar localizaciones OCA/país en CE,Reportes y EDI locales enterprise; fuera de alcance.
l10n_ro_reports,accounting,"l10n_ro,account_reports",NO_REPLICATE,P3,Usar localizaciones OCA/país en CE,Reportes y EDI locales enterprise; fuera de alcance.
l10n_sg_reports,accounting,"l10n_sg,account_reports",NO_REPLICATE,P3,Usar localizaciones OCA/país en CE,Reportes y EDI locales enterprise; fuera de alcance.
l10n_si_reports,accounting,"l10n_si,account_reports",NO_REPLICATE,P3,Usar localizaciones OCA/país en CE,Reportes y EDI locales enterprise; fuera de alcance.
l10n_th_reports,accounting,"l10n_th,account_reports",NO_REPLICATE,P3,Usar localizaciones OCA/país en CE,Reportes y EDI locales enterprise; fuera de alcance.
l10n_uk_reports,accounting,"l10n_uk,account_reports",NO_REPLICATE,P3,Usar localizaciones OCA/país en CE,Reportes y EDI locales enterprise; fuera de alcance.
l10n_uk_reports_hmrc,accounting,l10n_uk_reports,NO_REPLICATE,P3,Usar localizaciones OCA/país en CE,Reportes y EDI locales enterprise; fuera de alcance.
l10n_us_check_printing,accounting,"account_check_printing,l10n_us",NO_REPLICATE,P3,Usar localizaciones OCA/país en CE,Reportes y EDI locales enterprise; fuera de alcance.
l10n_us_reports,accounting,"l10n_us,account_reports",NO_REPLICATE,P3,Usar localizaciones OCA/país en CE,Reportes y EDI locales enterprise; fuera de alcance.
l10n_uy_reports,accounting,"l10n_uy,account_reports",NO_REPLICATE,P3,Usar localizaciones OCA/país en CE,Reportes y EDI locales enterprise; fuera de alcance.
l10n_vn_reports,accounting,"l10n_vn,account_reports",NO_REPLICATE,P3,Usar localizaciones OCA/país en CE,Reportes y EDI locales enterprise; fuera de alcance.
mail_enterprise,ui_framework,mail,NO_REPLICATE,P3,,Heurística por dominio/funcionalidad.
mail_github,other,mail,REPLACE_CE_OCA,P3,OCA/*,Sustituible por familia OCA.
marketing_automation,marketing,mass_mailing,NO_REPLICATE,P3,,Automatización marketing enterprise; deferir.
mass_mailing_themes,marketing,mass_mailing,NO_REPLICATE,P3,,Automatización marketing enterprise; deferir.
mrp_account,inventory_mrp,"mrp,stock_account",REPLACE_CE_OCA,P3,OCA/stock-*,Equivalentes OCA/CE.
mrp_maintenance,inventory_mrp,"mrp_workorder,maintenance",REPLACE_CE_OCA,P3,OCA/stock-*,Equivalentes OCA/CE.
mrp_mps,inventory_mrp,"mrp,purchase",NO_REPLICATE,P3,,Vertical MRP avanzada enterprise; deferir.
mrp_plm,inventory_mrp,mrp,NO_REPLICATE,P3,,Vertical MRP avanzada enterprise; deferir.
mrp_workorder,inventory_mrp,"quality,mrp,barcodes",NO_REPLICATE,P3,,Vertical MRP avanzada enterprise; deferir.
mrp_zebra,inventory_mrp,"stock_zebra,quality_mrp_iot",REPLACE_CE_OCA,P3,OCA/stock-*,Equivalentes OCA/CE.
ocn_client,other,"iap,mail",REPLACE_CE_OCA,P3,OCA/*,Sustituible por familia OCA.
pos_blackbox_be,sales_pos,"pos_restaurant,l10n_be,web_enterprise",NO_REPLICATE,P3,,PoS enterprise/IoT; deferir.
pos_enterprise,sales_pos,"web_enterprise,point_of_sale",NO_REPLICATE,P3,,PoS enterprise/IoT; deferir.
pos_iot,sales_pos,"point_of_sale,iot",NO_REPLICATE,P3,,PoS enterprise/IoT; deferir.
pos_loyalty,sales_pos,point_of_sale,NO_REPLICATE,P3,,PoS enterprise/IoT; deferir.
pos_restaurant_iot,sales_pos,"pos_restaurant,iot",NO_REPLICATE,P3,,PoS enterprise/IoT; deferir.
project_enterprise,projects_helpdesk,project,NO_REPLICATE,P3,,Extras enterprise; baja prioridad.
project_forecast,projects_helpdesk,"project,web_grid,hr",NO_REPLICATE,P3,,Extras enterprise; baja prioridad.
project_timesheet_forecast,projects_helpdesk,"hr_timesheet,project_forecast",NO_REPLICATE,P3,,Extras enterprise; baja prioridad.
project_timesheet_forecast_sale,projects_helpdesk,"project_forecast,sale_timesheet",NO_REPLICATE,P3,,Extras enterprise; baja prioridad.
project_timesheet_synchro,projects_helpdesk,hr_timesheet,NO_REPLICATE,P3,,Extras enterprise; baja prioridad.
purchase_mrp_workorder_quality,other,"purchase_mrp,quality_mrp_workorder,purchase_stock",REPLACE_CE_OCA,P3,OCA/*,Sustituible por familia OCA.
quality,other,"stock,decimal_precision",REPLACE_CE_OCA,P3,OCA/*,Sustituible por familia OCA.
quality_control,inventory_mrp,quality,REPLACE_CE_OCA,P3,OCA/quality,Calidad en OCA.
quality_iot,inventory_mrp,"iot,quality_control",REPLACE_CE_OCA,P3,OCA/quality,Calidad en OCA.
quality_mrp,inventory_mrp,"quality_control,mrp",REPLACE_CE_OCA,P3,OCA/quality,Calidad en OCA.
quality_mrp_iot,inventory_mrp,"quality_mrp_workorder,iot",REPLACE_CE_OCA,P3,OCA/quality,Calidad en OCA.
quality_mrp_workorder,inventory_mrp,"quality_control,mrp_workorder,barcodes",REPLACE_CE_OCA,P3,OCA/quality,Calidad en OCA.
sale_account_taxcloud,accounting,"account_taxcloud,sale",REPLACE_CE_OCA,P3,OCA/account-*,Sustituible en OCA/CE.
sale_coupon,sales_pos,sale_management,REPLACE_CE_OCA,P3,OCA/sale-workflow (coupons/discounts),Promos mediante OCA.
sale_coupon_delivery,sales_pos,"sale_coupon,delivery",REPLACE_CE_OCA,P3,OCA/sale-workflow (coupons/discounts),Promos mediante OCA.
sale_ebay,sales_pos,"base,sale_management,stock,delivery,document",NO_REPLICATE,P3,,Conector vertical/externo; deferir.
sale_enterprise,sales_pos,"sale,web_dashboard",REPLACE_CE_OCA,P3,OCA/sale-*,Equivalentes OCA/CE.
sale_intrastat,sales_pos,"sale,account_intrastat",REPLACE_CE_OCA,P3,OCA/sale-*,Equivalentes OCA/CE.
sale_subscription,sales_pos,"account_deferred_revenue,sale_management,portal,web_cohort,rating,base_automation",REPLACE_CE_OCA,P2,OCA/contract,Contratos y facturación recurrente en OCA.
sale_subscription_asset,sales_pos,"sale_subscription,account_deferred_revenue",REPLACE_CE_OCA,P2,OCA/contract,Contratos y facturación recurrente en OCA.
sale_subscription_dashboard,sales_pos,"sale_subscription,sale_subscription_asset",REPLACE_CE_OCA,P2,OCA/contract,Contratos y facturación recurrente en OCA.
sign,documents_collab,"mail,document,portal,sms",NO_REPLICATE,P3,,Firma y automatismos enterprise; deferir.
snailmail_account_reports_followup,other,"snailmail,account_reports_followup",REPLACE_CE_OCA,P3,OCA/*,Sustituible por familia OCA.
stock_account_enterprise,inventory_mrp,"stock_account,web_dashboard",REPLACE_CE_OCA,P3,OCA/stock-*,Equivalentes OCA/CE.
stock_barcode,inventory_mrp,"barcodes,stock,web_tour",REPLACE_CE_OCA,P2,OCA/stock-logistics-barcode,Lectura de códigos de barras comunitaria.
stock_barcode_mobile,inventory_mrp,"stock_barcode,web_mobile",REPLACE_CE_OCA,P2,OCA/stock-logistics-barcode,Lectura de códigos de barras comunitaria.
stock_enterprise,inventory_mrp,"stock,web_dashboard,web_cohort",REPLACE_CE_OCA,P3,OCA/stock-*,Equivalentes OCA/CE.
stock_intrastat,inventory_mrp,"stock_account,account_intrastat",REPLACE_CE_OCA,P3,OCA/stock-*,Equivalentes OCA/CE.
test_marketing_automation,other,"marketing_automation,test_mail",REPLACE_CE_OCA,P3,OCA/*,Sustituible por familia OCA.
timesheet_grid,projects_helpdesk,"web_grid,hr_timesheet",REPLACE_CE_OCA,P3,OCA/timesheet,Grid/Reportes con OCA.
timesheet_grid_sale,projects_helpdesk,"sale_timesheet,timesheet_grid",REPLACE_CE_OCA,P3,OCA/timesheet,Grid/Reportes con OCA.
voip,documents_collab,"base,mail,web,phone_validation",NO_REPLICATE,P3,,Heurística por dominio/funcionalidad.
voip_onsip,documents_collab,voip,NO_REPLICATE,P3,,Heurística por dominio/funcionalidad.
web_cohort,ui_framework,web,REPLICATE_CE_PRO,P2,Phoenix: vistas grid/gantt/dashboard CE,Vistas avanzadas reutilizables en CE 19 (OWL).
web_dashboard,ui_framework,web,REPLICATE_CE_PRO,P2,Phoenix: vistas grid/gantt/dashboard CE,Vistas avanzadas reutilizables en CE 19 (OWL).
web_enterprise,ui_framework,web,REPLICATE_CE_PRO,P1,Phoenix: web_enterprise_theme_ce,UI backend moderno en CE 19 (OWL/SCSS). Alto impacto.
web_gantt,ui_framework,web,REPLICATE_CE_PRO,P2,Phoenix: vistas grid/gantt/dashboard CE,Vistas avanzadas reutilizables en CE 19 (OWL).
web_grid,ui_framework,web,REPLICATE_CE_PRO,P2,Phoenix: vistas grid/gantt/dashboard CE,Vistas avanzadas reutilizables en CE 19 (OWL).
web_mobile,ui_framework,web_settings_dashboard,NO_REPLICATE,P3,,Builders/Studio propietarios o móviles con bajo ROI.
web_studio,ui_framework,"base_automation,base_import_module,mail,web,web_enterprise,web_editor",NO_REPLICATE,P3,,Builders/Studio propietarios o móviles con bajo ROI.
website_calendar,ui_framework,"calendar_sms,website_enterprise,hr",NO_REPLICATE,P3,,Funcionalidad website enterprise; deferir.
website_crm_score,ui_framework,"base,sales_team,website_crm,crm_enterprise",NO_REPLICATE,P3,,Funcionalidad website enterprise; deferir.
website_delivery_ups,ui_framework,"delivery_ups,website_sale_delivery",NO_REPLICATE,P3,,Funcionalidad website enterprise; deferir.
website_enterprise,ui_framework,website,NO_REPLICATE,P3,,Funcionalidad website enterprise; deferir.
website_form_editor,ui_framework,"website_enterprise,website_form",NO_REPLICATE,P3,,Funcionalidad website enterprise; deferir.
website_helpdesk,ui_framework,"helpdesk,website",NO_REPLICATE,P3,,Funcionalidad website enterprise; deferir.
website_helpdesk_form,ui_framework,"website_form_editor,website_helpdesk",NO_REPLICATE,P3,,Funcionalidad website enterprise; deferir.
website_helpdesk_forum,ui_framework,"website_forum,website_helpdesk",NO_REPLICATE,P3,,Funcionalidad website enterprise; deferir.
website_helpdesk_livechat,ui_framework,"website_helpdesk,website_livechat",NO_REPLICATE,P3,,Funcionalidad website enterprise; deferir.
website_helpdesk_slides,ui_framework,"website_helpdesk,website_slides",NO_REPLICATE,P3,,Funcionalidad website enterprise; deferir.
website_sale_account_taxcloud,ui_framework,"account_taxcloud,website_sale",NO_REPLICATE,P3,,Funcionalidad website enterprise; deferir.
website_sale_coupon,ui_framework,"website_sale,sale_coupon",NO_REPLICATE,P3,,Funcionalidad website enterprise; deferir.
website_sale_dashboard,ui_framework,"website_sale,web_dashboard",NO_REPLICATE,P3,,Funcionalidad website enterprise; deferir.
website_sale_taxcloud_delivery,ui_framework,"website_sale_delivery,website_sale_account_taxcloud",NO_REPLICATE,P3,,Funcionalidad website enterprise; deferir.
website_studio,ui_framework,"web_studio,website_form_editor",NO_REPLICATE,P3,,Builders/Studio propietarios o móviles con bajo ROI.
website_twitter_wall,ui_framework,website_twitter,NO_REPLICATE,P3,,Funcionalidad website enterprise; deferir.
